DEBUG:comtypes:CoInitializeEx(None, 2)
INFO:comtypes.client._code_cache:Could not import comtypes.gen, trying to create it.
INFO:comtypes.client._code_cache:Created comtypes.gen directory: 'C:\Users\Harry\AppData\Local\Programs\Python\Python39\lib\site-packages\comtypes\gen'
INFO:comtypes.client._code_cache:Writing __init__.py file: 'C:\Users\Harry\AppData\Local\Programs\Python\Python39\lib\site-packages\comtypes\gen\__init__.py'
INFO:comtypes.client._code_cache:Using writeable comtypes cache directory: 'C:\Users\Harry\AppData\Local\Programs\Python\Python39\lib\site-packages\comtypes\gen'
DEBUG:comtypes.client:SAPI.SpVoice -> {96749377-3391-11D2-9EE3-00C04F797396}
DEBUG:comtypes.client:CoCreateInstance({96749377-3391-11D2-9EE3-00C04F797396}, clsctx=None, interface=None)
DEBUG:comtypes.client:GetBestInterface(<POINTER(IUnknown) ptr=0x1c615d20b40 at 1c615aebec0>)
DEBUG:comtypes.client:Does implement IProvideClassInfo
DEBUG:comtypes.client:Default interface is {269316D8-57BD-11D2-9EEE-00C04F797396}
DEBUG:comtypes:Release <POINTER(IUnknown) ptr=0x1c615d20b80 at 1c615b3d3c0>
DEBUG:comtypes.client._generate:GetModule(TLIBATTR(GUID={C866CA3A-32F7-11D2-9602-00C04F8EE628}, Version=5.4, LCID=0, FLags=0x8))
INFO:comtypes.client._generate:Could not import comtypes.gen._C866CA3A_32F7_11D2_9602_00C04F8EE628_0_5_4: No module named 'comtypes.gen._C866CA3A_32F7_11D2_9602_00C04F8EE628_0_5_4'
INFO:comtypes.client._generate:# Generating comtypes.gen._C866CA3A_32F7_11D2_9602_00C04F8EE628_0_5_4
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46a60 at 1c615c60640>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46a60 at 1c615c60640>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614ad5918 at 1c615b3ddc0>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615b3de40>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46ab8 at 1c615b3dec0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46a60 at 1c615b3dcc0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46a60 at 1c615c606c0>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615c6d2c0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46c70 at 1c615c6d1c0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46a60 at 1c615c6d4c0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46b10 at 1c615c6dcc0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614ad5918 at 1c615c6d440>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615c6d3c0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46d20 at 1c615c6d640>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46cc8 at 1c615c6d4c0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614ad5918 at 1c615c60740>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615c60840>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46c18 at 1c615c608c0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46bc0 at 1c615c606c0>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615c60540>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46d78 at 1c615c60440>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615c60dc0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46dd0 at 1c615c60340>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614ad5918 at 1c615b3dcc0>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615b3ddc0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46b68 at 1c615b3dec0>
